method,w,clf,acc,f1,ARI,silhouette
gnat+r-slic,1.0,SVM,0.6399999999999999,0.6346104006318614,0.181229538030467,0.07311570018715012
gspec+r-slic,1.0,LogReg,0.6233333333333333,0.6190619830969422,0.10117651678940312,0.08191821172135166
gspec+r-slic,1.0,RandomForest,0.6083333333333333,0.6041521413050968,0.10117651678940312,0.08191821172135166
gspec+r-slic,1.0,SVM,0.6366666666666666,0.6325114425635034,0.10117651678940312,0.08191821172135166
hyb+r-slic,0.0,LogReg,0.6833333333333333,0.6827652746718177,0.019461722732367022,0.05164531133674641
hyb+r-slic,0.0,RandomForest,0.6866666666666668,0.6820630781539021,0.019461722732367022,0.05164531133674641
hyb+r-slic,0.0,SVM,0.725,0.7252955546627293,0.019461722732367022,0.05164531133674641
hyb+r-slic,0.25,LogReg,0.7183333333333334,0.7172015382225101,0.02160864898121204,0.04883240128453825
hyb+r-slic,0.25,RandomForest,0.7033333333333334,0.6996104297688028,0.02160864898121204,0.04883240128453825
hyb+r-slic,0.25,SVM,0.7616666666666666,0.7612701552226112,0.02160864898121204,0.04883240128453825
hyb+r-slic,0.5,LogReg,0.7150000000000001,0.7135598309259431,0.1767462340703846,0.04638173517649624
hyb+r-slic,0.5,RandomForest,0.7033333333333334,0.6996104297688028,0.1767462340703846,0.04638173517649624
hyb+r-slic,0.5,SVM,0.7450000000000001,0.7438279834664562,0.1767462340703846,0.04638173517649624
hyb+r-slic,0.75,LogReg,0.6633333333333333,0.6598355132041485,0.1606681656888814,0.0673474861104664
hyb+r-slic,0.75,RandomForest,0.705,0.7012765554855614,0.1606681656888814,0.0673474861104664
hyb+r-slic,0.75,SVM,0.6816666666666668,0.679653752645361,0.1606681656888814,0.0673474861104664
hyb+r-slic,1.0,LogReg,0.6133333333333333,0.6098807068073325,0.15504029101634106,0.07402173386800652
hyb+r-slic,1.0,RandomForest,0.6266666666666667,0.6214189663861555,0.15504029101634106,0.07402173386800652
hyb+r-slic,1.0,SVM,0.6266666666666667,0.6227044221423214,0.15504029101634106,0.07402173386800652
baseline-rgb,nan,LogReg,0.5183333333333333,0.5118311909116663,0.05918876936351859,0.39584948622773647
baseline-rgb,nan,RandomForest,0.49333333333333335,0.4928987881064274,0.05918876936351859,0.39584948622773647
baseline-rgb,nan,SVM,0.5450000000000002,0.5421285906472473,0.05918876936351859,0.39584948622773647
baseline-hog,nan,LogReg,0.6333333333333333,0.634127976123084,0.020868805016367134,0.050359714936092516
baseline-hog,nan,RandomForest,0.6966666666666667,0.6931703828119197,0.020868805016367134,0.050359714936092516
baseline-hog,nan,SVM,0.7333333333333334,0.7337449939152731,0.020868805016367134,0.050359714936092516
